Time,Open,High,Low,Close,Volume
2016-01-04 09:15:00,857.33,857.7,854.0,856.43,130153
2016-01-04 09:30:00,856.53,859.27,855.0,857.0,103505
2016-01-04 09:45:00,857.0,859.97,856.77,857.07,91521
2016-01-04 10:00:00,857.07,857.13,851.93,852.77,113688
2016-01-04 10:15:00,852.77,855.33,851.97,854.77,49685
2016-01-04 10:30:00,854.73,855.33,852.67,853.67,36495
2016-01-04 10:45:00,853.67,854.0,852.13,852.63,37939
2016-01-04 11:00:00,852.63,852.63,847.0,847.67,147434
2016-01-04 11:15:00,847.67,848.67,844.7,848.0,118645
2016-01-04 11:30:00,848.0,848.63,843.67,844.17,80034
2016-01-04 11:45:00,844.17,844.57,837.87,842.67,230008
2016-01-04 12:00:00,842.9,844.47,841.73,844.37,53399
2016-01-04 12:15:00,844.3,844.7,843.0,843.87,63106
2016-01-04 12:30:00,843.83,845.97,843.33,845.07,97874
2016-01-04 12:45:00,845.33,846.13,845.0,845.93,42750
2016-01-04 13:00:00,845.93,846.0,842.0,842.6,77203
2016-01-04 13:15:00,842.67,844.33,842.03,843.37,32191
2016-01-04 13:30:00,843.37,844.1,842.33,843.17,78739
2016-01-04 13:45:00,843.2,844.0,840.67,841.33,93755
2016-01-04 14:00:00,841.33,841.5,839.67,839.87,177794
2016-01-04 14:15:00,840.2,841.77,839.7,841.23,58958
2016-01-04 14:30:00,841.3,841.3,836.0,837.77,243916
2016-01-04 14:45:00,837.83,839.83,835.53,839.47,144057
2016-01-04 15:00:00,839.43,839.9,835.67,835.8,179714
2016-01-04 15:15:00,835.83,838.1,835.67,835.7,276768
2016-01-05 09:15:00,841.47,844.0,838.93,840.7,208981
2016-01-05 09:30:00,841.0,841.9,836.03,836.4,344421
2016-01-05 09:45:00,836.0,840.0,835.17,839.5,163561
2016-01-05 10:00:00,839.53,842.47,837.33,841.33,67815
2016-01-05 10:15:00,841.8,843.27,841.03,842.4,55955
2016-01-05 10:30:00,842.43,842.53,840.0,841.2,49426
2016-01-05 10:45:00,841.33,841.33,836.77,837.63,65409
2016-01-05 11:00:00,837.5,839.2,836.67,838.07,45400
2016-01-05 11:15:00,838.3,838.8,836.67,837.63,68487
2016-01-05 11:30:00,837.63,838.5,837.37,838.0,55551
2016-01-05 11:45:00,838.0,840.53,837.73,840.2,44468
2016-01-05 12:00:00,840.2,841.9,839.63,840.67,66890
2016-01-05 12:15:00,840.67,841.2,839.33,840.17,51622
2016-01-05 12:30:00,840.17,842.53,838.73,842.53,46892
2016-01-05 12:45:00,842.53,843.6,840.03,842.33,83620
2016-01-05 13:00:00,842.33,845.67,842.33,844.0,126042
2016-01-05 13:15:00,844.0,844.23,840.33,842.67,45488
2016-01-05 13:30:00,842.67,845.2,841.93,844.33,55840
2016-01-05 13:45:00,844.33,844.67,841.9,843.47,86539
