,Time,Open,High,Low,Close,Volume
0,2016-01-04 09:15:00,497.8,502.15,497.8,501.3,391666
1,2016-01-04 09:45:00,501.1,501.55,498.75,498.85,301678
2,2016-01-04 10:15:00,498.95,500.25,494.8,496.3,8583283
3,2016-01-04 10:45:00,496.3,496.3,494.3,494.3,947319
4,2016-01-04 11:15:00,494.35,494.95,493.2,493.95,285235
5,2016-01-04 11:45:00,494.05,494.7,492.35,494.7,368460
6,2016-01-04 12:15:00,494.7,494.85,493.5,494.25,146147
7,2016-01-04 12:45:00,494.25,494.8,492.35,492.8,136476
8,2016-01-04 13:15:00,492.8,492.85,488.7,490.35,753586
9,2016-01-04 13:45:00,490.15,490.75,488.9,490.0,347378
10,2016-01-04 14:15:00,490.05,491.0,489.55,490.2,185873
11,2016-01-04 14:45:00,490.35,494.05,489.85,492.35,825006
12,2016-01-04 15:15:00,492.35,493.95,491.5,492.4,642590
13,2016-01-05 09:15:00,496.05,496.05,493.8,495.4,473565
14,2016-01-05 09:45:00,495.4,497.0,494.65,495.75,904938
15,2016-01-05 10:15:00,495.75,497.0,495.35,495.7,502351
16,2016-01-05 10:45:00,495.8,496.55,495.05,495.25,316492
17,2016-01-05 11:15:00,495.25,496.2,493.8,494.65,524150
18,2016-01-05 11:45:00,494.65,495.95,494.5,495.3,452450
19,2016-01-05 12:15:00,495.3,497.8,495.3,497.55,387944
20,2016-01-05 12:45:00,497.55,498.75,497.45,497.8,616813
21,2016-01-05 13:15:00,497.8,500.25,497.7,499.4,412977
22,2016-01-05 13:45:00,499.4,499.9,498.3,499.4,319423
23,2016-01-05 14:15:00,499.4,499.7,497.8,498.0,395489
24,2016-01-05 14:45:00,498.0,498.9,497.35,497.65,914360
25,2016-01-05 15:15:00,497.65,498.1,497.1,497.45,672957
26,2016-01-06 09:15:00,498.75,501.8,495.5,500.0,788236
27,2016-01-06 09:45:00,500.15,503.2,499.95,502.6,460836
28,2016-01-06 10:15:00,502.65,510.55,502.65,508.7,1332941
29,2016-01-06 10:45:00,508.6,511.6,507.9,511.25,889238
30,2016-01-06 11:15:00,511.15,511.95,510.3,510.95,991086
31,2016-01-06 11:45:00,510.7,512.25,509.45,511.4,613546
32,2016-01-06 12:15:00,511.4,512.5,510.85,511.85,897963
33,2016-01-06 12:45:00,511.9,512.35,508.7,511.85,711166
34,2016-01-06 13:15:00,511.85,513.0,510.9,511.4,684143
35,2016-01-06 13:45:00,511.4,512.2,504.45,504.65,1409285
36,2016-01-06 14:15:00,504.3,514.3,504.3,512.15,1493150
37,2016-01-06 14:45:00,512.05,513.5,510.65,511.15,1158205
38,2016-01-06 15:15:00,511.15,511.7,509.2,509.7,899954
39,2016-01-07 09:15:00,505.75,507.4,502.75,505.05,1566435
40,2016-01-07 09:45:00,505.05,505.65,503.35,504.05,640330
41,2016-01-07 10:15:00,504.05,504.95,503.75,504.9,404820
42,2016-01-07 10:45:00,504.8,509.15,504.75,507.7,877361
43,2016-01-07 11:15:00,507.7,507.95,504.0,504.1,466542
44,2016-01-07 11:45:00,504.25,504.65,499.55,501.9,651567
45,2016-01-07 12:15:00,501.9,503.85,500.95,500.95,446859
46,2016-01-07 12:45:00,500.95,503.35,500.55,502.05,351453
47,2016-01-07 13:15:00,502.1,502.75,500.3,501.6,396022
48,2016-01-07 13:45:00,501.5,502.75,500.6,501.75,427422
49,2016-01-07 14:15:00,501.75,503.75,500.9,502.2,647329
50,2016-01-07 14:45:00,502.25,503.7,501.3,501.8,987411
51,2016-01-07 15:15:00,501.75,505.2,499.75,504.2,1230997
52,2016-01-08 09:15:00,506.7,511.25,506.7,507.7,1169676
53,2016-01-08 09:45:00,507.5,509.8,507.45,508.8,584283
54,2016-01-08 10:15:00,508.7,509.4,504.5,506.1,891087
55,2016-01-08 10:45:00,506.1,507.9,505.35,505.8,297971
56,2016-01-08 11:15:00,505.95,511.15,503.6,510.6,1476778
57,2016-01-08 11:45:00,510.65,510.65,508.8,509.1,650142
58,2016-01-08 12:15:00,509.3,510.15,508.3,509.65,481206
59,2016-01-08 12:45:00,509.8,510.3,508.7,509.85,442444
60,2016-01-08 13:15:00,509.65,510.35,506.45,506.8,591388
61,2016-01-08 13:45:00,506.55,508.6,506.55,508.25,397929
62,2016-01-08 14:15:00,508.25,509.85,507.1,507.3,540033
63,2016-01-08 14:45:00,507.45,509.1,507.15,507.5,1264045
64,2016-01-08 15:15:00,507.45,509.65,507.45,508.9,1022500
65,2016-01-11 09:15:00,503.25,507.45,500.75,507.1,664566
66,2016-01-11 09:45:00,507.15,517.05,506.9,516.95,1461536
67,2016-01-11 10:15:00,516.85,519.35,514.15,519.1,1215921
68,2016-01-11 10:45:00,519.1,522.3,518.6,519.0,1965644
69,2016-01-11 11:15:00,519.1,520.45,517.35,520.25,536813
70,2016-01-11 11:45:00,520.3,520.55,517.35,519.55,872767
71,2016-01-11 12:15:00,519.55,520.05,517.3,519.2,499279
72,2016-01-11 12:45:00,519.2,520.5,518.7,520.0,440908
