"TIME","Open","High","Low","CLOSE","VOLUME","SYMBOL","Date","TIME1"
"2016-01-04 09:15:00","160.4","163.2","159.67","161.33","718451","ONGC",2016-01-04,"09:15:00"
"2016-01-04 10:15:00","161.33","162.33","160.77","160.8","361463","ONGC",2016-01-04,"10:15:00"
"2016-01-04 11:15:00","160.8","161.6","160.07","161.57","411528","ONGC",2016-01-04,"11:15:00"
"2016-01-04 12:15:00","161.57","161.57","160.47","160.53","176983","ONGC",2016-01-04,"12:15:00"
"2016-01-04 13:15:00","160.53","161.2","158.67","159.4","413587","ONGC",2016-01-04,"13:15:00"
"2016-01-04 14:15:00","159.37","160.33","158.03","158.07","577715","ONGC",2016-01-04,"14:15:00"
"2016-01-04 15:15:00","158.07","159.9","157.1","159","456003","ONGC",2016-01-04,"15:15:00"
"2016-01-05 09:15:00","160","161.17","159.37","160.4","725019","ONGC",2016-01-05,"09:15:00"
"2016-01-05 10:15:00","160.4","161.67","160.17","161.57","581231","ONGC",2016-01-05,"10:15:00"
"2016-01-05 11:15:00","161.57","161.8","161","161.33","348561","ONGC",2016-01-05,"11:15:00"
"2016-01-05 12:15:00","161.33","161.33","160.8","161.03","121318","ONGC",2016-01-05,"12:15:00"
"2016-01-05 13:15:00","161.03","162.47","160.5","162.2","436051","ONGC",2016-01-05,"13:15:00"
"2016-01-05 14:15:00","162.2","162.83","160.47","161.33","777481","ONGC",2016-01-05,"14:15:00"
"2016-01-05 15:15:00","161.33","161.53","160.93","161.2","651159","ONGC",2016-01-05,"15:15:00"
"2016-01-06 09:15:00","160.97","161.33","159.33","161.33","558173","ONGC",2016-01-06,"09:15:00"
"2016-01-06 10:15:00","161.33","161.5","160.83","161.17","245502","ONGC",2016-01-06,"10:15:00"
"2016-01-06 11:15:00","161.17","161.27","160.33","160.97","261262","ONGC",2016-01-06,"11:15:00"
"2016-01-06 12:15:00","160.87","161.03","160.33","160.57","207819","ONGC",2016-01-06,"12:15:00"
"2016-01-06 13:15:00","160.47","160.8","156.47","156.47","952774","ONGC",2016-01-06,"13:15:00"
"2016-01-06 14:15:00","156.47","159","156.43","158.47","528147","ONGC",2016-01-06,"14:15:00"
"2016-01-06 15:15:00","158.63","158.67","157.73","158","244896","ONGC",2016-01-06,"15:15:00"
"2016-01-07 09:15:00","154.77","155.33","153.37","153.4","814755","ONGC",2016-01-07,"09:15:00"
"2016-01-07 10:15:00","153.4","153.73","150.8","150.93","1060102","ONGC",2016-01-07,"10:15:00"
"2016-01-07 11:15:00","150.93","151.33","149.67","150.13","964465","ONGC",2016-01-07,"11:15:00"
"2016-01-07 12:15:00","150.2","151.53","149.8","150.6","766284","ONGC",2016-01-07,"12:15:00"
"2016-01-07 13:15:00","150.57","151","149.37","149.57","948676","ONGC",2016-01-07,"13:15:00"
"2016-01-07 14:15:00","149.57","151.6","149.47","151.2","2343666","ONGC",2016-01-07,"14:15:00"
"2016-01-07 15:15:00","151.13","151.3","150.43","150.67","704086","ONGC",2016-01-07,"15:15:00"
"2016-01-08 09:15:00","152.6","153.33","150.43","150.67","1068143","ONGC",2016-01-08,"09:15:00"
"2016-01-08 10:15:00","150.67","151.93","150.6","151.9","368568","ONGC",2016-01-08,"10:15:00"
"2016-01-08 11:15:00","151.9","152.57","151.5","152.23","332186","ONGC",2016-01-08,"11:15:00"
"2016-01-08 12:15:00","152.23","153.67","152.07","153.33","499035","ONGC",2016-01-08,"12:15:00"
"2016-01-08 13:15:00","153.33","154.53","153.3","154.23","440497","ONGC",2016-01-08,"13:15:00"
"2016-01-08 14:15:00","154.2","154.33","152.73","153.3","2434161","ONGC",2016-01-08,"14:15:00"
"2016-01-08 15:15:00","153.3","154.3","153.03","154.13","1738756","ONGC",2016-01-08,"15:15:00"
"2016-01-11 09:15:00","150.67","151.5","150.07","150.5","1174065","ONGC",2016-01-11,"09:15:00"
"2016-01-11 10:15:00","150.5","150.73","150","150.6","581532","ONGC",2016-01-11,"10:15:00"
"2016-01-11 11:15:00","150.6","150.7","149.73","149.87","322457","ONGC",2016-01-11,"11:15:00"
"2016-01-11 12:15:00","149.87","150.1","149.37","149.4","379921","ONGC",2016-01-11,"12:15:00"
"2016-01-11 13:15:00","149.4","150.17","148.1","149.6","1023826","ONGC",2016-01-11,"13:15:00"
"2016-01-11 14:15:00","149.93","150.87","149.47","150.43","2215742","ONGC",2016-01-11,"14:15:00"
"2016-01-11 15:15:00","150.4","150.6","150","150.27","705742","ONGC",2016-01-11,"15:15:00"
"2016-01-12 09:15:00","149.53","149.53","147.1","148","797023","ONGC",2016-01-12,"09:15:00"
"2016-01-12 10:15:00","148.03","148.07","146.87","147.4","630839","ONGC",2016-01-12,"10:15:00"
"2016-01-12 11:15:00","147.4","147.83","146.67","146.83","550038","ONGC",2016-01-12,"11:15:00"
"2016-01-12 12:15:00","146.9","147.33","146.67","147.03","580306","ONGC",2016-01-12,"12:15:00"
"2016-01-12 13:15:00","147.03","147.23","146.8","146.87","1134040","ONGC",2016-01-12,"13:15:00"
"2016-01-12 14:15:00","146.9","147.67","146.83","147.47","1331523","ONGC",2016-01-12,"14:15:00"
"2016-01-12 15:15:00","147.5","148.5","147.33","148.07","514859","ONGC",2016-01-12,"15:15:00"
"2016-01-13 09:15:00","148.6","149.13","147.67","148.4","460667","ONGC",2016-01-13,"09:15:00"
"2016-01-13 10:15:00","148.4","148.43","146.67","146.77","841619","ONGC",2016-01-13,"10:15:00"
"2016-01-13 11:15:00","146.77","147.33","145.93","146.47","601324","ONGC",2016-01-13,"11:15:00"
"2016-01-13 12:15:00","146.47","146.57","145.03","145.77","685983","ONGC",2016-01-13,"12:15:00"
"2016-01-13 13:15:00","145.77","147.6","145.67","146.8","801703","ONGC",2016-01-13,"13:15:00"
"2016-01-13 14:15:00","146.8","149.23","146.67","148.83","1217921","ONGC",2016-01-13,"14:15:00"
"2016-01-13 15:15:00","148.83","149.27","148.7","149","769141","ONGC",2016-01-13,"15:15:00"
"2016-01-14 09:15:00","146.73","148.97","144.4","145.2","1024732","ONGC",2016-01-14,"09:15:00"
"2016-01-14 10:15:00","145.2","146.3","144.7","145.97","409462","ONGC",2016-01-14,"10:15:00"
"2016-01-14 11:15:00","145.93","147","145.8","146.9","461567","ONGC",2016-01-14,"11:15:00"
"2016-01-14 12:15:00","146.9","147.8","146.77","147.7","540020","ONGC",2016-01-14,"12:15:00"
"2016-01-14 13:15:00","147.7","149","147.37","147.77","942647","ONGC",2016-01-14,"13:15:00"
"2016-01-14 14:15:00","147.77","150.3","147.57","148.67","2119006","ONGC",2016-01-14,"14:15:00"
"2016-01-14 15:15:00","148.7","149.33","148.57","149.07","1009812","ONGC",2016-01-14,"15:15:00"
"2016-01-15 09:15:00","149.4","149.4","146.37","146.97","734988","ONGC",2016-01-15,"09:15:00"
"2016-01-15 10:15:00","146.97","146.97","145.57","146.23","437654","ONGC",2016-01-15,"10:15:00"
"2016-01-15 11:15:00","146.23","147.87","146.07","147.2","509760","ONGC",2016-01-15,"11:15:00"
"2016-01-15 12:15:00","147.27","147.97","147","147.83","290180","ONGC",2016-01-15,"12:15:00"
"2016-01-15 13:15:00","147.83","148.8","147.63","148.57","793244","ONGC",2016-01-15,"13:15:00"
"2016-01-15 14:15:00","148.57","148.9","145.83","146.07","1378723","ONGC",2016-01-15,"14:15:00"
"2016-01-15 15:15:00","146.17","146.17","145.2","145.33","360764","ONGC",2016-01-15,"15:15:00"
"2016-01-18 09:15:00","144.8","145.33","140.83","143.2","1096433","ONGC",2016-01-18,"09:15:00"
"2016-01-18 10:15:00","143.2","143.5","142.37","143","653189","ONGC",2016-01-18,"10:15:00"
"2016-01-18 11:15:00","143","143.07","141.83","142.3","583291","ONGC",2016-01-18,"11:15:00"
