"TIME","Open","High","Low","CLOSE","VOLUME","SYMBOL","Date","TIME1"
"2016-01-04 09:15:00","812","821.25","810.1","812.3","463543","SUNPHARMA",2016-01-04,"09:15:00"
"2016-01-04 10:15:00","812.5","813.4","800.05","800.15","454701","SUNPHARMA",2016-01-04,"10:15:00"
"2016-01-04 11:15:00","800.15","802.35","795.1","801.95","396195","SUNPHARMA",2016-01-04,"11:15:00"
"2016-01-04 12:15:00","801.95","802.5","797.65","799.15","160998","SUNPHARMA",2016-01-04,"12:15:00"
"2016-01-04 13:15:00","799.15","800.4","796.2","799.25","266499","SUNPHARMA",2016-01-04,"13:15:00"
"2016-01-04 14:15:00","799.45","804.15","797.5","797.9","442827","SUNPHARMA",2016-01-04,"14:15:00"
"2016-01-04 15:15:00","797.9","800.4","797.15","799","201207","SUNPHARMA",2016-01-04,"15:15:00"
"2016-01-05 09:15:00","805.5","806.2","801.3","802.6","373250","SUNPHARMA",2016-01-05,"09:15:00"
"2016-01-05 10:15:00","802.55","805","792.05","793.45","317366","SUNPHARMA",2016-01-05,"10:15:00"
"2016-01-05 11:15:00","793.45","802.25","793.1","801.1","249047","SUNPHARMA",2016-01-05,"11:15:00"
"2016-01-05 12:15:00","801.1","803.5","799.05","803.3","144863","SUNPHARMA",2016-01-05,"12:15:00"
"2016-01-05 13:15:00","803.3","803.9","799.25","800","185379","SUNPHARMA",2016-01-05,"13:15:00"
"2016-01-05 14:15:00","800","802.35","797","800.6","284309","SUNPHARMA",2016-01-05,"14:15:00"
"2016-01-05 15:15:00","800.95","802.5","800","801","74330","SUNPHARMA",2016-01-05,"15:15:00"
"2016-01-06 09:15:00","804.45","805.8","797.35","798","540783","SUNPHARMA",2016-01-06,"09:15:00"
"2016-01-06 10:15:00","798","798.9","793.6","794.5","473607","SUNPHARMA",2016-01-06,"10:15:00"
"2016-01-06 11:15:00","794.5","796.15","793.95","794.2","212330","SUNPHARMA",2016-01-06,"11:15:00"
"2016-01-06 12:15:00","794.2","797.65","793","797.65","209391","SUNPHARMA",2016-01-06,"12:15:00"
"2016-01-06 13:15:00","797.15","798.8","791.05","793.7","251091","SUNPHARMA",2016-01-06,"13:15:00"
"2016-01-06 14:15:00","793.7","795.05","791.25","791.3","302582","SUNPHARMA",2016-01-06,"14:15:00"
"2016-01-06 15:15:00","791.3","795","790.75","791.45","175763","SUNPHARMA",2016-01-06,"15:15:00"
"2016-01-07 09:15:00","787.8","789.35","779.55","782.75","458215","SUNPHARMA",2016-01-07,"09:15:00"
"2016-01-07 10:15:00","782.75","798.8","782.25","795.1","305367","SUNPHARMA",2016-01-07,"10:15:00"
