,Time,Open,High,Low,Close,Volume
0,1/4/2016 9:15,217.07,217.33,215.2,215.6,1176791
1,1/4/2016 10:15,215.6,215.63,214.37,215,762844
2,1/4/2016 11:15,215,216.27,214.87,216.23,539176
3,1/4/2016 12:15,216.07,216.63,215.43,216.5,574532
4,1/4/2016 13:15,216.53,216.73,215.73,216.2,872228
5,1/4/2016 14:15,216.2,216.73,215.53,216.63,1028822
6,1/4/2016 15:15,216.63,217.4,216.5,217.03,946597
7,1/5/2016 9:15,216.73,217.6,216.27,216.73,1216080
8,1/5/2016 10:15,216.67,217.23,216.33,216.8,791071
9,1/5/2016 11:15,216.77,217.2,216.67,216.8,743223
10,1/5/2016 12:15,216.8,217.03,216.67,216.83,509536
11,1/5/2016 13:15,216.83,217.47,216.03,216.73,1011275
12,1/5/2016 14:15,216.73,217.1,216.37,216.53,933333
13,1/5/2016 15:15,216.43,217.27,216.2,216.33,597169
14,1/6/2016 9:15,217.37,217.4,213.2,213.53,1942884
15,1/6/2016 10:15,213.53,213.53,212.73,213.03,1178828
16,1/6/2016 11:15,213.03,213.03,211.73,212,1608810
17,1/6/2016 12:15,212,212.07,209.87,210.17,3058780
18,1/6/2016 13:15,210.17,211.33,209.87,210.13,2453096
19,1/6/2016 14:15,210.13,211.07,209.83,210.03,2832239
20,1/6/2016 15:15,210.03,210.27,209.87,210,2144405
21,1/7/2016 9:15,208.73,209.13,206.33,206.47,2007705
22,1/7/2016 10:15,206.5,206.8,205.77,206.03,1873682
23,1/7/2016 11:15,206,207.37,205.87,206.8,1478343
24,1/7/2016 12:15,206.77,207.7,206.5,207.2,1314003
25,1/7/2016 13:15,207.2,208.67,207.17,208.47,1650601
26,1/7/2016 14:15,208.47,208.57,205.9,206.4,2655433
27,1/7/2016 15:15,206.4,206.8,206.23,206.7,812773
28,1/8/2016 9:15,207.63,209.27,206.53,209.23,1757473
29,1/8/2016 10:15,209.17,210.27,208.7,209.63,854276
30,1/8/2016 11:15,209.63,210.13,209.57,209.7,2212982
31,1/8/2016 12:15,209.67,210.23,209.53,210,1472017
32,1/8/2016 13:15,210,211.2,209.77,211,775322
33,1/8/2016 14:15,210.73,211.33,208.87,209.1,1725410
34,1/8/2016 15:15,209.13,209.33,208.1,208.3,1026016
35,1/11/2016 9:15,207.8,207.87,206.5,207.37,1085314
36,1/11/2016 10:15,207.37,207.67,206.67,207.53,1266960
37,1/11/2016 11:15,207.53,209,207.33,207.43,1123880
38,1/11/2016 12:15,207.43,208.87,207.33,208.77,641929
39,1/11/2016 13:15,208.77,210.73,208.67,210.37,932454
40,1/11/2016 14:15,210.37,211.17,210.03,210.67,1191471
41,1/11/2016 15:15,210.53,210.93,210.03,210.63,617844
42,1/12/2016 9:15,210.17,210.8,209.37,210.13,867053
43,1/12/2016 10:15,210.13,210.67,209.4,210.63,1021501
44,1/12/2016 11:15,210.6,210.67,209.97,210.03,519010
45,1/12/2016 12:15,210.03,210.2,209.2,209.97,948520
46,1/12/2016 13:15,209.97,210,208.33,209,985239
47,1/12/2016 14:15,208.97,210.27,208.43,209.83,1728332
48,1/12/2016 15:15,209.83,211.27,209.73,211.23,876202
49,1/13/2016 9:15,211.53,213.33,211.1,213.13,1104808
50,1/13/2016 10:15,213.13,213.6,210.03,210.87,1355784
51,1/13/2016 11:15,210.87,211.73,210.53,210.93,706468
52,1/13/2016 12:15,210.93,211.2,209.77,210.07,1086436
53,1/13/2016 13:15,210.03,212.2,209.83,211.67,847130
54,1/13/2016 14:15,211.57,211.63,210.2,210.53,1196468
55,1/13/2016 15:15,210.53,211.33,210.1,211.3,556464
56,1/14/2016 9:15,209.27,212.1,208.17,209.17,2085215
57,1/14/2016 10:15,209.17,210.3,209.17,210.17,1361953
58,1/14/2016 11:15,210.13,210.47,210,210.33,1108298
59,1/14/2016 12:15,210.3,211.37,209.97,211.2,1520150
60,1/14/2016 13:15,211.2,212.23,210.07,210.93,1222747
61,1/14/2016 14:15,210.93,212.13,210,211.57,2619479
62,1/14/2016 15:15,211.57,212.4,210.33,210.6,1561600
63,1/15/2016 9:15,211.13,211.6,209.47,210.3,2038456
64,1/15/2016 10:15,210.3,210.4,209.97,210.07,774547
65,1/15/2016 11:15,210.07,210.67,209.97,210.07,728633
66,1/15/2016 12:15,210,210.5,209.53,210,605966
67,1/15/2016 13:15,210,210.3,208.93,209.4,1384148
68,1/15/2016 14:15,209.4,210.17,208.33,209.23,1630377
69,1/15/2016 15:15,209.23,210,208.2,208.43,809275
70,1/18/2016 9:15,209.2,212.37,209,211.6,2320625
71,1/18/2016 10:15,211.6,211.73,210.13,210.17,985639
72,1/18/2016 11:15,210.17,210.77,210,210.67,1146993
73,1/18/2016 12:15,210.6,210.7,209.17,209.2,1461429
74,1/18/2016 13:15,209.17,210.3,208.83,210,1760421
75,1/18/2016 14:15,210,210.3,209.57,210.1,2844137
76,1/18/2016 15:15,210.03,210.7,209.87,210.23,1302210
77,1/19/2016 9:15,210.23,210.67,209.33,210,736631
78,1/19/2016 10:15,210,210.13,209.47,209.8,533060
79,1/19/2016 11:15,209.77,210.67,209.7,210.33,800277
80,1/19/2016 12:15,210.33,211.67,210,211.03,1212942
81,1/19/2016 13:15,211.07,211.13,209.93,210.27,1430919
82,1/19/2016 14:15,210.27,210.5,209.33,209.47,1472443
83,1/19/2016 15:15,209.47,210,208,208.53,642332
84,1/20/2016 9:15,206.93,209.83,206.93,207.57,2517613
85,1/20/2016 10:15,207.57,208,206.93,207.5,897449
86,1/20/2016 11:15,207.43,207.83,206,206.6,1180187
87,1/20/2016 12:15,206.6,207.07,204.13,205.67,806091
88,1/20/2016 13:15,205.67,205.73,203.73,204,1252467
89,1/20/2016 14:15,204,206.27,203.37,205.93,2195425
